balls,strikes,outs,is_first_base,is_second_base,is_third_base,total_runs,count,average_runs,0 runs,1 runs,2 runs,3 runs,4 runs,5 runs,6 runs,7 runs,8 runs,9 runs,10 runs,11 runs,12 runs,13 runs
2,1,2,False,False,False,596,5018,0.118772419290554,4613,274,91,24,12,4,0,0,0,0,0,0,0,0
2,1,2,False,False,True,208,532,0.39097744360902253,384,104,30,12,2,0,0,0,0,0,0,0,0,0
2,1,2,False,True,False,486,1240,0.3919354838709677,945,177,71,30,10,5,2,0,0,0,0,0,0,0
2,1,2,False,True,True,209,376,0.5558510638297872,278,26,44,20,6,1,1,0,0,0,0,0,0,0
2,1,2,True,False,False,536,2110,0.25402843601895736,1824,122,102,44,14,3,0,1,0,0,0,0,0,0
2,1,2,True,False,True,189,422,0.44786729857819907,316,57,29,8,10,2,0,0,0,0,0,0,0,0
2,1,2,True,True,False,488,976,0.5,746,94,57,49,21,6,2,1,0,0,0,0,0,0
2,1,2,True,True,True,266,298,0.8926174496644296,173,58,24,20,18,3,1,1,0,0,0,0,0,0
2,2,0,False,False,False,6318,13696,0.46130257009345793,10253,1792,931,421,175,68,39,13,0,4,0,0,0,0
2,2,0,False,False,True,181,115,1.5739130434782609,17,51,30,8,3,2,4,0,0,0,0,0,0,0
2,2,0,False,True,False,918,828,1.108695652173913,358,227,125,77,19,9,3,9,1,0,0,0,0,0
2,2,0,False,True,True,321,169,1.8994082840236686,35,37,50,21,13,9,4,0,0,0,0,0,0,0
2,2,0,True,False,False,2160,2484,0.8695652173913043,1472,392,325,160,77,31,18,7,1,0,1,0,0,0
2,2,0,True,False,True,341,197,1.7309644670050761,32,80,36,30,8,4,4,2,0,1,0,0,0,0
2,2,0,True,True,False,843,644,1.3090062111801242,291,117,99,65,49,13,6,2,1,0,0,0,0,0
2,2,0,True,True,True,387,173,2.2369942196531793,23,51,37,21,19,11,9,2,0,0,0,0,0,0
